key,name,name_kana,name_katakana,groups,project
cerise_bouquet,スリーズブーケ,すりーずぶーけ,スリーズブーケ,cerise_bouquet_103 & cerise_bouquet_104 & cerise_bouquet_105,hasu_no_sora
dollchestra,DOLLCHESTRA,どるけすとら,ドルケストラ,dollchestra_103 & dollchestra_104 & dollchestra_105,hasu_no_sora
mira-cra_park,みらくらぱーく！,みらくらぱーく,ミラクラパーク,mira-cra_park_103 & mira-cra_park_104 & mira-cra_park_105,hasu_no_sora
edel_note,Edel Note,えーでるのーと,エーデルノート,edel_note_104 & edel_note_105,hasu_no_sora
hasu_no_sora,蓮ノ空女学院スクールアイドルクラブ,はすのそらじょがくいんすくーるあいどるくらぶ,ハスノソラジョガクインスクールアイドルクラブ,hasu_no_sora_103 & hasu_no_sora_104 & hasu_no_sora_105,hasu_no_sora
